제목,장르,총 평점,유저 평점
메이저 리그,스포츠,3.5,3.5
모리스,드라마,3.6,3.5
인간 로켓티어,액션,3.2,3.0
늑대 개,가족,3.6,3.5
탱고와 캐쉬,액션,3.2,3.0
8미리,범죄,3.1,3.0
제임스와 거대한 복숭아,애니메이션,3.6,3.5
트윈 이펙트,액션,2.3,2.0
풍운 2,판타지,2.6,2.5
사랑하고 싶은 여자 & 결혼하고 싶은 여자,로맨틱코미디,2.4,2.0
손톱,스릴러,2.6,2.5
인어전설,로맨스,3.1,3.0
라벤더,로맨스,3.2,3.0
퍼햅스 러브,로맨스,2.6,2.5
호월적고사,범죄,2.7,2.5
영웅무언,스릴러,2.4,2.0
타이거 맨,액션,2.9,2.5
강호정,범죄,3.0,3.0
주윤발의 화기소림,액션,3.1,3.0
몽중인,드라마,3.0,3.0
할렘 나이트,드라마,2.3,2.0
천국으로 가는 장의사,범죄,3.7,3.5
킨지테,액션,2.7,2.5
실버라도,서부극,3.1,3.0
허니문 인 베가스,로맨틱코미디,2.8,2.5
폭풍의 나날,로맨스,2.8,2.5
마이티 덕,스포츠,3.3,3.0
두 낚시꾼에게 무슨 일이 생겼나,미국,2.7,2.5
비러브드,공포,3.1,3.0
쿠키의 행운,드라마,3.4,3.0
크림슨 타이드,액션,3.8,3.5
빅 트러블,모험,3.2,3.0
배트 21,드라마,3.1,3.0
플라이 2,공포,2.9,2.5
네트,액션,3.1,3.0
프레데터 2,SF,3.1,3.0
도플갱어,공포,2.8,2.5
콘스탄트 가드너,드라마,3.6,3.5
맨 온 더 문,코미디,3.7,3.5
폭주 기관차,액션,3.6,3.5
위트니스,로맨스,3.4,3.0
저지 드레드,액션,3.1,3.0
프리키 프라이데이,드라마,3.5,3.5
천국보다 낯선,코미디,3.9,3.5
쏘우 2,공포,3.2,3.0
디 아이,공포,2.8,2.5
쏘우,공포,3.5,3.5
제르미날,드라마,3.5,3.5
남과 여 20년 후,로맨스,3.2,3.0
아이큐 제로,코미디,2.7,2.5
캡틴 코낭,전쟁,3.3,3.0
영국인과 공작,전쟁,3.4,3.0
스트리트 파이터,액션,1.9,1.5
투 브라더스,드라마,3.5,3.0
특전 유보트,전쟁,3.7,3.5
마이 뉴 파트너,범죄,3.1,3.0
귀여운 반항아,로맨틱코미디,3.5,3.0
엽문 2,액션,3.5,3.5
살파랑,액션,3.4,3.0
촉산,액션,3.1,3.0
화소도,범죄,3.1,3.0
황비홍 - 철계투오공,액션,3.4,3.0
신불료정,로맨스,3.5,3.0
철갑무적 마리아,액션,2.4,2.0
신유성호접검,액션,2.9,2.5
공포분자,드라마,4.0,3.5
시카리오: 데이 오브 솔다도,액션,3.7,3.5
너와 극장에서,드라마,3.1,3.0
나와 봄날의 약속,미스터리,1.8,1.5
개들의 섬,코미디,3.5,3.5
아직 끝나지 않았다,드라마,3.8,3.5
칠복성,액션,3.3,3.0
강시선생2: 강시가족,액션,3.0,3.0
칠소복,드라마,2.9,2.5
귀타귀,액션,3.2,3.0
부귀열차,액션,3.1,3.0
강시선생3: 영환선생,액션,3.1,3.0
헬로 강시,대만,3.2,3.0
강시선생,액션,3.2,3.0
전쟁 지역,드라마,3.1,3.0
세븐 싸이코패스,코미디,3.4,3.0
송곳니,드라마,3.5,3.0
올란도,드라마,3.6,3.5
유전,드라마,3.5,3.5
디트로이트,범죄,3.7,3.5
라이크 크레이지,드라마,3.7,3.5
독전,범죄,3.6,3.5
데드풀 2,액션,3.7,3.5
트립 투 스페인,코미디,2.8,2.5
청년 마르크스,드라마,3.2,3.0
버닝,스릴러,3.4,3.0
레슬러,드라마,2.5,2.0
보리 vs 매켄로,드라마,3.5,3.5
씨 오브 트리스,드라마,2.8,2.5
챔피언,드라마,2.4,2.0
원더스트럭,드라마,3.1,3.0
임포스터,미국,2.7,2.5
크리스마스 건너뛰기,가족,3.0,3.0
늑대여인의 음모,공포,3.2,3.0
꼬마 돼지 베이브 2,코미디,3.2,3.0
패스트 푸드 네이션,다큐멘터리,3.3,3.0
미스틱 피자,로맨스,2.9,2.5
노스바스의 추억,드라마,3.4,3.0
슈퍼걸,판타지,2.4,2.0
툼스톤,로맨스,3.2,3.0
그린버그,드라마,3.2,3.0
닥터 두리틀 2,코미디,2.9,2.5
안개,공포,3.1,3.0
프랑켄슈타인,공포,3.4,3.0
거친 녀석들,코미디,3.2,3.0
트로픽 썬더,액션,3.1,3.0
애니멀,코미디,2.8,2.5
스티브 지소와의 해저 생활,액션,3.6,3.5
존 레논의 이메진,다큐멘터리,3.6,3.5
일루셔니스트,드라마,3.4,3.0
마네킨 2,로맨스,3.1,3.0
핫 칙,코미디,3.5,3.5
고티카,공포,2.8,2.5
어게인스트,로맨스,3.0,2.5
