code,title,year,genres,ratings_avg
mjO0leO,캐리비안의 해적 - 블랙 펄의 저주,2003,"['액션', '판타지', '모험']",4.0
mdBzQED,동주,2015,"['드라마', '시대극']",3.9
mBOkwpO,천공의 성 라퓨타,1986,"['판타지', '액션', '애니메이션', '가족']",3.9
mW4LAwW,라따뚜이,2007,"['판타지', '가족', '드라마', '코미디', '애니메이션', '모험', '키즈']",4.0
mOgLV0d,젤리그,1983,['코미디'],3.9
my5YQ5w,뷰티풀 마인드,2001,['드라마'],3.9
mWpkJw5,캡틴 아메리카: 윈터 솔져,2014,"['액션', '모험', 'SF', '스릴러']",4.0
mOAD1EW,해리포터와 죽음의 성물 2,2011,"['판타지', '미스터리', '드라마', '모험', '액션']",3.9
mgOA4mW,바스터즈: 거친 녀석들,2009,"['모험', '드라마', '전쟁']",4.0
m5xJQAB,원피스 : 에피소드 오브 메리 - 또 하나의 동료 이야기,2013,"['애니메이션', '판타지', '모험']",4.0
mOl4GK6,리틀 포레스트 2: 겨울과 봄,2015,['드라마'],4.0
mOoyZZ5,그래비티,2013,"['SF', '드라마', '스릴러']",4.0
mWyJpxy,암살,2015,"['액션', '드라마']",4.0
mWvDGZd,써니,2011,"['드라마', '코미디']",4.0
m5338w5,미녀와 야수,1991,"['애니메이션', '가족', '판타지', '로맨스', '키즈']",4.0
m5XMJ1W,노인을 위한 나라는 없다,2007,"['범죄', '스릴러', '드라마']",4.0
mVWzLNd,내가 널 사랑할 수 없는 10가지 이유,1999,"['로맨틱코미디', '틴에이저']",4.0
m5DGrlR,벌새,2018,['드라마'],3.9
