제목,장르,총 평점
패스트 & 퓨리어스 도쿄 드리프트,액션,3.4
찰리 바틀렛,드라마,3.1
스파이더맨: 홈커밍,액션,4.0
옥자,드라마,3.6
테이크 쉘터,드라마,3.7
최후의 Z,스릴러,3.0
원더 우먼,전쟁,3.3
너브,모험,3.2
이중 배상,범죄,3.7
경찰서를 털어라,액션,3.6
바람의 검심,액션,3.3
고슴도치의 우아함,드라마,4.0
봄날은 간다,드라마,3.8
한공주,드라마,3.7
성난 변호사,범죄,3.2
핵소 고지,드라마,3.8
어느날,로맨스,3.1
닉과 노라의 인피니트 플레이리스트,코미디,3.3
페인티드 베일,드라마,3.6
오리엔트 특급 살인사건,범죄,3.6
너무 밝히는 소녀 알마,드라마,2.7
정원사,다큐멘터리,3.5
공장 노동자들의 퇴근,다큐멘터리,3.4
트레인스포팅,드라마,3.9
선샤인,모험,3.4
머니볼,스포츠,3.8
모나리자 스마일,드라마,3.7
플러버,SF,3.4
당신에게 오늘 밤을,로맨틱코미디,3.7
시간위의 집,미스터리,2.7
드라큐라,공포,3.6
레이디킬러,범죄,3.6
라이프,공포,3.4
임금님의 사건수첩,미스터리,3.1
업 포 러브,코미디,3.3
아키라,애니메이션,3.8
오멘,공포,3.6
아브릴과 조작된 세계,애니메이션,3.4
이유없는 반항,드라마,3.6
필라델피아 스토리,로맨틱코미디,3.3
스미스씨 워싱톤 가다,드라마,3.7
아파트 열쇠를 빌려드립니다,로맨틱코미디,3.9
가디언즈 오브 갤럭시 VOL. 2,액션,3.9
콜로설,액션,2.5
보스 베이비,애니메이션,3.4
이웃집 스파이,액션,2.9
투씨,코미디,3.4
겟 아웃,스릴러,3.7
에이리언: 커버넌트,SF,3.6
컨테이젼,재난,3.4
공각기동대 : 고스트 인 더 쉘,액션,2.7
모놀리스,드라마,2.3
더 브레이브,모험,3.6
고질라,스릴러,2.8
마블원샷: 에이전트 카터,액션,3.6
호텔 슈발리에,로맨스,3.4
사랑은 다 괜찮아,코미디,2.9
행복 목욕탕,가족,3.6
데스노트: 더 뉴 월드,범죄,2.9
