제목,장르,총 평점
타이페이 스토리,드라마,3.7
모리스,드라마,3.6
카메라를 멈추면 안 돼!,코미디,3.8
비정성시,드라마,4.0
신과함께-인과 연,드라마,3.4
파프리카,SF,3.6
뱀파이어에 관한 아주 특별한 다큐멘터리,코미디,3.7
독전: 익스텐디드 컷,범죄,3.7
오디션,공포,3.3
스탠 바이 미,모험,3.8
쿠엔틴 타란티노 8,다큐멘터리,3.4
아이다호,드라마,3.7
강아지 똥,판타지,3.6
레미제라블,드라마,4.0
주글래 살래,액션,0.8
경계선,범죄,3.7
메기,코미디,3.8
블러드 심플,범죄,3.7
죽거나 혹은 나쁘거나,액션,3.5
트루 시크릿,코미디,3.3
브레이킹 배드 무비: 엘 카미노,드라마,3.5
미이라 2,액션,3.3
결혼 이야기,코미디,4.0
퍼스트 러브,액션,3.0
버티고,드라마,2.5
배신자,드라마,3.2
시너님스,드라마,3.3
사망유희 디 오리지널,액션,3.6
이탈리아 여행,드라마,3.8
조커,스릴러,3.9
코미디의 왕,드라마,4.0
미드 90,코미디,3.6
불청객,판타지,2.9
강적,스릴러,2.4
검은 집,스릴러,3.0
쿵 퓨리,액션,3.5
슈퍼맨,SF,3.6
원스 어폰 어 타임... 인 할리우드,코미디,3.7
눈싸움,다큐멘터리,3.2
걸스온탑,가족,3.5
언더 더 실버 레이크,범죄,3.2
겜블러,드라마,2.9
로프,범죄,3.8
오만과 편견 그리고 좀비,액션,2.7
만추,로맨스,3.3
위 오운 더 나잇,범죄,3.2
로슈포르의 숙녀들,코미디,3.8
타짜: 원 아이드 잭,범죄,2.6
도심 속의 방,드라마,3.4
캐리,공포,3.5
더 로드,드라마,3.5
그것: 두 번째 이야기,공포,2.9
그것,스릴러,3.0
유열의 음악앨범,로맨스,2.9
칼리가리 박사의 밀실,공포,3.7
모던 보이,로맨스,2.8
교차로의 밤,범죄,3.6
미지의 여인에게서 온 편지,드라마,3.8
벌새,드라마,3.9
쉘부르의 우산,드라마,3.7
우리집,드라마,3.8
파란 우산,애니메이션,3.6
오직 사랑하는 이들만이 살아남는다,드라마,3.5
디저트,드라마,3.1
지상의 밤,코미디,4.0
커피와 담배 3,미국,3.7
커피와 담배 2,미국,3.2
커피와 담배,드라마,3.7
롤라,드라마,3.6
지구 최후의 밤,드라마,3.7
런어웨이,애니메이션,3.3
살인의 낙인,액션,3.7
인간,애니메이션,3.6
인 더 폴,애니메이션,3.4
워,액션,3.0
정무문,액션,3.6
뜨거운 것이 좋아,드라마,2.6
엑시트,코미디,3.7
"아귀레, 신의 분노",액션,3.6
데드 돈 다이,코미디,2.8
누구나 아는 비밀,스릴러,3.3
돈,드라마,4.1
로스트 인 더스트,액션,3.8
낭트의 자코,드라마,4.2
돈 워리,드라마,3.2
내 어머니의 모든 것,드라마,3.8
일주일,코미디,3.8
공룡 거티,애니메이션,3.3
빌 스트리트가 말할 수 있다면,로맨스,3.4
생산적 활동,다큐멘터리,4.0
Les fiancés du pont Mac Donald ou ,로맨스,3.3
허트 로커,드라마,3.8
정원사,다큐멘터리,3.5
벽의 해체,다큐멘터리,3.4
아내가 결혼했다,드라마,3.2
감각의 제국,드라마,2.8
이웃집 남자,드라마,2.9
전함 포템킨,드라마,3.5
써커 펀치,판타지,2.4
프레데터스,액션,3.0
지구가 멈추는 날,드라마,2.7
아마겟돈,SF,3.8
언록킹 셜록,다큐멘터리,4.1
공공의 적 2,범죄,3.3
쌍화점,시대극,2.8
은하철도 999 - 극장판,애니메이션,3.7
배우는 배우다,드라마,2.7
랭고,애니메이션,3.0
오멘,공포,3.6
집시의 시간,드라마,4.1
톰과 제리,애니메이션,3.8
나탈리,로맨스,1.5
동경 방랑자,액션,3.7
이블 데드,공포,3.5
채식주의자,드라마,2.2
시라노; 연애조작단,로맨틱코미디,3.3
미니언즈,애니메이션,3.5
리틀 포레스트,드라마,3.9
마이웨이,드라마,2.9
쉬리,액션,3.7
점쟁이들,공포,2.5
미드소마,드라마,3.3
폴라로이드 작동법,단편,3.4
스파이더맨: 파 프롬 홈,액션,3.6
황해,스릴러,3.7
파이퍼,애니메이션,3.9
장군의 아들 3,액션,3.0
장군의 아들 2,액션,3.1
스릴러,공포,3.8
보디 우먼,드라마,3.4
마음이 2,코미디,3.3
타잔,애니메이션,3.6
노틀담의 꼽추,애니메이션,3.6
신데렐라,애니메이션,3.7
컴 투게더,코미디,3.6
항구를 떠나는 보트,다큐멘터리,3.1
몸 값,단편,3.9
아니마,드라마,3.2
추하고 더럽고 미천한,드라마,3.7
롱 키스 굿나잇,액션,3.3
쁘띠 아만다,드라마,3.5
성룡의 신주쿠 살인사건,범죄,2.9
우리 동네,스릴러,2.8
판타스틱 4,액션,3.2
비브르 사 비,드라마,3.7
사랑과 경멸,드라마,3.7
억압받는 다수,드라마,4.0
카메라맨,로맨스,4.1
토이 스토리 4,애니메이션,3.9
낮술,코미디,3.4
해피 피트 2,애니메이션,3.4
인사동 스캔들,범죄,3.1
설계,스릴러,1.7
400번의 구타,범죄,3.8
피고 13,코미디,3.3
해피엔드,드라마,3.4
베니스 70 : 미래 재장전,다큐멘터리,3.3
아무르,드라마,3.9
인 더 파크,미국,2.8
제물,코미디,3.6
의식,스릴러,3.9
새벽의 뉴욕열차,미국,3.6
오후의 그물,스릴러,3.7
이별을 받아들이는 다섯 단계,로맨스,2.6
머리 없는 사나이,판타지,3.6
존 윅 3: 파라벨룸,액션,3.4
좀비랜드,모험,3.5
살인의 막장,공포,3.3
피터 팬,애니메이션,3.7
컨버세이션,범죄,3.8
달,애니메이션,4.2
죠스,공포,3.5
한반도,액션,2.8
물 이야기,프랑스,3.2
구르믈 버서난 달처럼,시대극,3.0
취화선,시대극,3.3
어깨너머의 연인 ,드라마,2.3
글로리아 벨,드라마,3.2
벅스 라이프,애니메이션,3.6
야수,드라마,3.8
권태의 실험실,공포,3.1
사도,시대극,3.7
낮과 밤,애니메이션,3.9
샤를로뜨와 그녀의 쥘,드라마,3.4
대열차 강도,범죄,3.3
아이들...,드라마,3.0
영화판,다큐멘터리,2.6
기생충,드라마,4.3
행복한 라짜로,드라마,3.8
필사의 추적,스릴러,3.8
다운사이징,SF,2.6
황비홍-천하무인,액션,3.6
블라인드 사이드,드라마,4.0
지난 해 마리앙바드에서,공포,3.8
공장 노동자들의 퇴근,다큐멘터리,3.4
펀치 드렁크 러브,코미디,3.7
원 나잇 스탠드,드라마,2.2
엑소시스트,공포,3.5
애나벨,공포,2.7
적선지대,드라마,3.9
무쉐뜨,드라마,3.9
빨간 풍선,판타지,3.9
밤과 안개,다큐멘터리,3.8
악인전,범죄,3.1
어머니와 아들,드라마,4.0
세계의 심장,판타지,3.5
완벽한 도미 요리,드라마,3.5
닥터 스트레인지러브,코미디,3.9
카포티,범죄,3.6
미성년,드라마,3.7
방파제,드라마,4.1
불안은 영혼을 잠식한다,로맨스,3.8
서스페리아,판타지,3.4
카이로의 붉은 장미,코미디,3.9
어벤져스: 엔드게임,액션,4.2
백일염화,드라마,3.4
엽기적인 그녀,드라마,3.8
에이 아이,모험,4.0
러브리스,드라마,3.6
쏘우 - 여섯 번의 기회,공포,3.2
기생수 파트1,SF,3.3
옹박: 더 레전드,액션,2.8
붉은 돼지,판타지,3.6
사랑과 영혼,스릴러,3.8
스탈린이 죽었다!,코미디,3.7
바이스,코미디,3.7
행복,드라마,3.9
행잉록에서의 소풍,드라마,3.7
이장호의 외인구단,스포츠,2.9
어스,공포,3.3
박하사탕,드라마,3.7
더 길티,범죄,3.5
엠파이어,다큐멘터리,2.1
가까이서 본 기차,전쟁,3.6
녹색 광선,로맨스,3.8
겨울 빛,드라마,3.9
아사코,드라마,3.6
젠 엑스 캅,드라마,2.3
용형호제,액션,3.7
프로젝트 A,액션,3.7
라스트 미션,범죄,3.5
더 도어,드라마,3.5
우상,스릴러,2.8
누명 쓴 사나이,범죄,3.6
작전명 발키리,드라마,3.3
"10,000 BC",드라마,2.7
아버지의 깃발,전쟁,3.5
가타카,SF,4.0
타임 투 킬,드라마,3.5
오블리비언,액션,3.5
질투,드라마,3.3
우나기,드라마,3.5
알파고,다큐멘터리,3.8
자유의 이차선,드라마,3.7
클레어의 카메라,드라마,3.2
해리의 소동,스릴러,3.4
크리드 2,액션,3.2
어둠 속의 댄서,범죄,3.8
시스터스,공포,3.7
매치스틱 맨,드라마,3.6
방콕 데인저러스,액션,2.3
내셔널 트레져,액션,3.4
사냥꾼의 밤,범죄,3.9
인비저블 게스트,범죄,3.9
셰임,드라마,3.5
플라이 대디,드라마,2.4
퍼스트 리폼드,드라마,3.6
퀸 - 우리의 나날들,다큐멘터리,4.1
엘 시크레토: 비밀의 눈동자,로맨스,3.8
CCTV : 은밀한 시선,스릴러,2.2
배드 캅,드라마,3.8
셜록 2세,코미디,4.1
트럭,스릴러,2.8
불꽃처럼 나비처럼,시대극,2.7
22 점프 스트리트,범죄,3.5
사바하,미스터리,3.2
한공주,드라마,3.7
죽여줘! 제니퍼,코미디,2.2
21 점프 스트리트,범죄,3.5
달콤한 인생,드라마,3.8
007 카지노 로얄,액션,3.8
안티크라이스트,드라마,3.5
시리어스 맨,드라마,3.7
선셋 대로,드라마,4.0
콜드 워,드라마,3.9
더 페이버릿: 여왕의 여자,드라마,3.9
아메리칸 히스토리 X,드라마,3.9
그녀는 날 싫어해,드라마,2.4
스파이더맨: 뉴 유니버스,애니메이션,4.0
쉰들러 리스트,드라마,4.2
더 와이프,드라마,3.5
벨벳 버즈소,공포,2.5
알리타: 배틀 엔젤,액션,3.4
디스 이즈 디 엔드,코미디,3.2
택시,코미디,3.7
길소뜸,드라마,3.5
안달루시아의 개,판타지,3.4
인 더 섀도우 오브 우먼,드라마,3.4
하드코어 헨리,액션,3.0
살인마 잭의 집,범죄,3.4
가버나움,드라마,4.3
빽 투 더 퓨쳐,모험,4.0
톰과 제리,가족,3.8
극한직업,코미디,3.9
싸인,SF,3.1
가디언의 전설,판타지,3.2
히트맨,액션,3.2
이창,미스터리,3.9
굿타임,스릴러,3.5
브루스 올마이티,드라마,3.8
스패로우,액션,3.3
살인자의 기억법: 새로운 기억,스릴러,3.2
"안녕, 용문객잔",드라마,4.0
101마리의 달마시안 개,가족,3.7
철남,공포,3.5
마약전쟁,드라마,3.3
해프닝,미스터리,3.0
글래스,드라마,3.3
삼인행: 생존 게임,액션,2.6
2001 스페이스 오디세이,SF,4.0
다크 시티,SF,3.6
공각기동대,애니메이션,3.9
클로이,드라마,3.2
피라냐,코미디,2.6
재키 브라운,범죄,3.6
극락도 살인사건,스릴러,2.9
우리 생애 최고의 순간,드라마,3.4
적인걸: 측천무후의 비밀,액션,3.1
투캅스,범죄,3.3
부탁 하나만 들어줘,범죄,3.5
S테이프,코미디,2.6
23 아이덴티티,공포,3.4
시계태엽 오렌지,범죄,3.9
개들의 섬,코미디,3.5
인 디 아일,드라마,3.8
나 홀로 집에 3,코미디,3.3
PMC: 더 벙커,액션,2.7
007 스카이폴,액션,3.8
그때 그사람들,코미디,3.3
마약왕,범죄,2.6
지구,다큐멘터리,3.6
카 2,애니메이션,3.1
로마,드라마,4.1
붙어야 산다,코미디,3.1
그린 북,코미디,4.2
레토,음악,3.7
브로크백 마운틴,드라마,3.8
죄 많은 소녀,드라마,3.8
무서운 영화 4,코미디,3.1
무서운 영화,공포,3.0
총알탄 사나이,액션,3.4
황진이,시대극,2.4
블랙클랜스맨,범죄,3.6
완벽한 타인,코미디,3.7
식객: 김치전쟁,드라마,2.6
이웃집 토토로,판타지,4.0
큐어,범죄,4.0
귀향,코미디,3.8
맘마미아!,코미디,3.8
간기남,스릴러,2.6
페임,코미디,3.2
하녀,스릴러,3.2
페르세폴리스,애니메이션,3.9
경의선,로맨스,2.7
007 북경특급,액션,3.5
오세암,애니메이션,3.7
카우보이의 노래,코미디,3.8
볼트,애니메이션,3.3
트루먼 쇼,드라마,4.2
작전,범죄,3.3
제7의 봉인,드라마,3.8
사라방드,스웨덴,3.7
도쿄 소나타,드라마,3.7
롤라 런,범죄,3.4
라쇼몽,드라마,3.8
퀸 락 몬트리올,음악,4.1
보헤미안 랩소디,드라마,3.9
풀잎들,드라마,3.5
오션스 13,범죄,3.7
로빈 후드,액션,3.2
슈퍼배드,애니메이션,3.8
풍산개,드라마,2.9
파르나서스 박사의 상상극장,모험,3.0
퍼스트 맨,드라마,3.6
제너럴,전쟁,3.8
킬러들의 도시,드라마,3.4
케이프 피어,공포,3.5
더 문,SF,3.7
번 애프터 리딩,드라마,3.4
암수살인,범죄,3.5
스타 이즈 본,로맨스,3.6
오션스 트웰브,범죄,3.6
다른나라에서,드라마,3.3
오션스 일레븐,범죄,3.8
80일간의 세계일주,액션,3.1
이민자,드라마,3.6
8 마일,음악,3.7
안시성,시대극,3.1
태극권,코미디,3.5
쿵후 프리즌,액션,3.2
워터프론트,드라마,3.6
동네사람들,액션,2.5
우리들의 일그러진 영웅,드라마,3.5
성냥공장 소녀,드라마,3.8
열차 안의 낯선 자들,범죄,3.8
무서운 이야기,공포,2.7
걸리버 여행기,모험,2.9
해피 피트,애니메이션,3.5
고령가 소년 살인사건,드라마,4.1
그린 호넷,액션,2.4
코요테 어글리,드라마,3.7
포비든 킹덤 - 전설의 마스터를 찾아서,액션,2.7
이연걸의 히트맨,스릴러,3.0
인디아나 존스: 마궁의 사원,액션,3.9
인디아나 존스 - 최후의 성전,판타지,3.9
이다,드라마,3.8
여배우,드라마,3.4
최고의 감독,드라마,3.3
콜 미 바이 유어 네임,드라마,4.0
마다가스카 2,애니메이션,3.5
하치 이야기,드라마,3.6
토니 타키타니,드라마,3.8
캥거루 잭,코미디,2.6
인디펜던스 데이,SF,3.6
미녀 삼총사 2 - 맥시멈 스피드,액션,3.3
주온 2 오리지널,공포,3.1
링,공포,3.1
이티,가족,3.9
워낭소리,다큐멘터리,3.4
퀸카로 살아남는 법,로맨틱코미디,3.6
스텝 업,드라마,3.7
붉은 바캉스 검은 웨딩,드라마,1.6
트론: 새로운 시작,액션,3.1
수퍼맨 리턴즈,판타지,3.1
엑스페리먼트,스릴러,3.5
클릭,코미디,3.4
서치,드라마,3.8
폭력의 역사,범죄,3.7
공자춘추전국시대 감독판,전쟁,2.7
슬램덩크 극장판,스포츠,3.2
바빌론 A.D.,액션,2.5
헐크,판타지,3.2
스피드,액션,3.9
알라딘,애니메이션,3.9
사탄의 인형,공포,3.2
뻐꾸기 둥지 위로 날아간 새,범죄,4.1
지금은맞고그때는틀리다,드라마,3.4
50대50,드라마,3.2
꿀벌 대소동,애니메이션,3.2
대사건,액션,3.3
컨페션,코미디,3.0
정무문 : 100대 1의 전설,액션,3.4
싸이코,공포,4.0
로크,드라마,3.4
라스트 에어벤더,액션,2.2
세븐 싸이코패스,코미디,3.4
페티쉬,스릴러,2.1
반가운 살인자,스릴러,2.5
도둑들 영화를 만들다,다큐멘터리,3.7
야마카시,액션,3.2
살인에 관한 짧은 필름,범죄,3.7
메달리온,액션,2.7
미녀와 야수,애니메이션,4.0
백설공주와 일곱 난쟁이,애니메이션,3.7
미션 임파서블 2,액션,3.6
착신아리,공포,2.7
익사일,범죄,3.3
장고: 분노의 추적자,서부극,3.9
흑사회 2,범죄,3.6
흑사회,범죄,3.5
서칭 포 슈가맨,음악,3.9
천녀유혼,액션,3.8
복면달호,코미디,2.9
북북서로 진로를 돌려라,로맨스,3.8
"4개월, 3주... 그리고 2일",드라마,3.8
레지던트 이블 5 : 최후의 심판,SF,3.2
유령 신부,판타지,3.6
싸움,코미디,2.1
용의주도 미스 신,로맨틱코미디,2.2
오페라의 유령,로맨스,3.8
헬보이,액션,3.3
오즈의 마법사,판타지,3.7
19곰 테드,판타지,3.3
미스터 & 미세스 스미스,액션,3.6
들어는 봤니? 모건 부부,드라마,2.8
파라노말 액티비티,공포,3.1
"나니아 연대기 - 사자, 마녀 그리고 옷장",모험,3.7
인어 공주,애니메이션,4.0
천국보다 낯선,코미디,3.9
파이터,드라마,3.7
이태원 살인사건,범죄,2.6
콜래트럴,스릴러,3.5
언브레이커블,드라마,3.4
악마가 너의 죽음을 알기 전에,드라마,3.7
인랑,액션,2.1
타인의 삶,스릴러,4.0
스튜어트 리틀,모험,3.6
공작,드라마,3.5
스타트렉: 더 비기닝,액션,3.8
장기수 브론슨의 고백,액션,3.3
미션 임파서블,액션,4.0
랜드 오브 마인,전쟁,3.9
원더풀 라이프,판타지,3.9
아이 엠 러브,가족,3.8
알 포인트,공포,3.3
어느 가족,범죄,4.1
미션 임파서블: 폴아웃,액션,3.7
사이비,애니메이션,3.6
에이리언,공포,3.9
인랑,스릴러,3.4
맨 인 블랙 2,SF,3.7
우주전쟁,모험,3.4
씬 시티: 다크히어로의 부활,액션,3.2
스네이크 아이즈,범죄,3.1
하나 그리고 둘,드라마,4.1
차이나타운,범죄,3.1
킬링 디어,드라마,3.8
아직 끝나지 않았다,드라마,3.8
마녀,액션,3.4
대호,역사,3.0
더 랍스터,코미디,3.7
유전,드라마,3.5
드래곤볼 에볼루션,액션,1.2
디트로이트,범죄,3.7
프란시스 하,코미디,3.7
빌리 엘리어트 뮤지컬 라이브,코미디,4.1
게이머,SF,3.0
여배우들,드라마,2.7
사랑도 통역이 되나요?,드라마,3.5
미트 페어런츠,코미디,3.3
현기증,스릴러,4.0
풀 메탈 자켓,전쟁,3.8
독전,범죄,3.6
도니 브래스코,범죄,3.8
사울의 아들,드라마,3.8
세 번째 살인,스릴러,3.6
버닝,스릴러,3.4
그랜 토리노,범죄,3.9
콘스탄틴,판타지,3.9
데드풀 2,액션,3.7
다우트,드라마,3.9
멜랑콜리아,드라마,3.8
초록물고기,범죄,3.6
황후화,액션,3.2
아비정전,범죄,3.8
어벤져스: 인피니티 워,액션,4.1
너는 여기에 없었다,범죄,3.6
콰이어트 플레이스,공포,3.4
희망에 빠진 남자들,로맨틱코미디,3.0
스페이스 침스 : 우주선을 찾아서,애니메이션,2.6
곤지암,공포,2.9
"아이, 토냐",드라마,3.5
레디 플레이어 원,액션,3.7
샤이닝,공포,3.9
레이더스,모험,4.0
파이널 데스티네이션 4,판타지,3.0
7년의 밤,스릴러,2.4
고사: 피의 중간고사,공포,2.2
스카이라인,액션,2.5
매그니피센트 7,모험,3.2
쥬라기 공원 2: 잃어버린 세계,공포,3.6
로건 럭키,범죄,3.3
오싹한 연애,공포,3.2
플로리다 프로젝트,드라마,4.0
스시 장인: 지로의 꿈,다큐멘터리,3.6
쓰리 빌보드,범죄,4.0
블랙 팬서,액션,3.5
팬텀 스레드,로맨스,4.0
셰이프 오브 워터: 사랑의 모양,모험,3.9
서유기 리턴즈,액션,1.8
에너미 앳 더 게이트,전쟁,4.0
일본 침몰,재난,2.2
볼케이노,액션,3.5
더 포스트,스릴러,4.0
골든슬럼버,범죄,2.5
소수의견,드라마,3.4
펭귄 - 위대한 모험,다큐멘터리,3.7
올 더 머니,범죄,3.4
그것만이 내 세상,드라마,3.6
메이즈 러너: 데스 큐어,SF,3.3
페이퍼맨,애니메이션,4.1
올라프의 겨울왕국 어드벤처,애니메이션,3.2
코코,애니메이션,4.0
쿵푸 덩크,스포츠,2.4
피아니스트,드라마,4.1
보이후드,드라마,3.9
아빠의 검,드라마,2.3
거미맨,판타지,1.9
양양,드라마,2.3
파미르,드라마,2.9
아랫집,드라마,3.5
랄라랜드,드라마,2.8
보금자리,스릴러,3.3
숲 속의 아이,판타지,2.5
라라라,드라마,3.0
그대 없이는 못 살아,드라마,3.1
스파이 브릿지,드라마,3.7
홀리 모터스,드라마,3.6
그녀,드라마,3.9
토니 에드만,코미디,3.8
쿨 러닝,드라마,3.8
미인도,로맨스,2.7
패터슨,드라마,3.9
신과함께-죄와 벌,판타지,3.7
1987,드라마,4.0
러브레터,로맨스,4.0
강철비,드라마,3.3
스타워즈: 라스트 제다이,액션,3.3
리미트리스,SF,3.8
지슬 - 끝나지 않은 세월2,드라마,3.8
성난 황소,스포츠,3.9
택시 드라이버,드라마,4.0
빅쇼트,드라마,3.8
퍼시잭슨과 번개 도둑,모험,3.1
록키,스포츠,3.9
친구와 연인사이,로맨틱코미디,3.3
침묵의 목격자,드라마,3.4
로그 원: 스타워즈 스토리,액션,3.6
스타워즈 에피소드 6: 제다이의 귀환,액션,4.0
더 코브: 슬픈 돌고래의 진실,다큐멘터리,3.8
슈렉 포에버,판타지,3.4
배드 티처,코미디,2.9
스타워즈 에피소드 5: 제국의 역습,SF,4.0
스타워즈 에피소드 4: 새로운 희망,SF,3.9
씨민과 나데르의 별거,드라마,4.0
내 사랑,드라마,3.8
오리엔트 특급 살인,범죄,3.1
걸어도 걸어도,가족,4.0
미스터 빈의 홀리데이,드라마,3.4
여배우는 오늘도,코미디,3.5
콜로설,액션,2.5
무법자,범죄,2.4
옥희의 영화,코미디,3.6
쥬만지,가족,3.7
시네마 천국,드라마,4.3
8인: 최후의 결사단,액션,3.0
침묵,범죄,3.1
화양연화,로맨스,4.0
577 프로젝트,다큐멘터리,2.9
아이 앰 히스 레저,다큐멘터리,3.8
영화는 영화다,액션,3.3
매혹당한 사람들,드라마,3.1
스쿨 오브 락,음악,3.8
범죄도시,범죄,3.9
마스크 오브 조로,액션,3.3
파고,범죄,3.9
배틀 로얄 3D,스릴러,2.9
스텝업 2 - 더 스트리트,로맨스,3.6
박물관이 살아있다 2,모험,3.3
방자전,드라마,3.0
평양성,드라마,2.8
라푼젤,로맨스,4.0
월드 인베이젼,액션,3.1
공모자들,액션,3.4
나의 PS 파트너,로맨스,3.2
더 울버린,액션,3.1
트랜스포머: 사라진 시대,액션,3.1
빅매치,액션,3.0
푸른소금,액션,2.6
미트 더 스파르탄,코미디,2.4
꿈의 제인,드라마,3.7
마더!,스릴러,3.4
신들의 전쟁,액션,2.8
당신과 함께한 순간들,드라마,3.7
호수의 이방인,드라마,3.7
아티스트 봉만대,코미디,2.2
플로렌스,코미디,3.3
아나콘다 2 - 사라지지 않는 저주,액션,2.7
아나콘다 4 - 피의 제전,공포,1.9
아나콘다,액션,3.1
아노말리사,드라마,3.7
미스터 고,코미디,2.7
데어 윌 비 블러드,드라마,4.1
하나비,범죄,3.7
컨저링,스릴러,3.2
토르: 천둥의 신,액션,3.7
진격의 거인-홍련의 화살-,애니메이션,3.4
샌 안드레아스,재난,3.1
퍼블릭 에너미,범죄,3.1
멀홀랜드 드라이브,스릴러,3.8
이레이저 헤드,공포,3.5
로우리스 : 나쁜 영웅들,범죄,3.4
너는 펫,로맨틱코미디,2.2
킬러스,액션,3.0
하이 스쿨 뮤지컬 2,틴에이저,3.6
나잇 & 데이,액션,3.3
집으로...,드라마,3.8
고령화가족,드라마,3.0
이상한 나라의 앨리스,모험,3.5
블러드,액션,1.8
아토믹 블론드,액션,3.4
아티스트,코미디,3.8
바시르와 왈츠를,다큐멘터리,3.8
체인질링,범죄,3.5
기술자들,범죄,2.9
피아니스트,드라마,3.6
일루셔니스트,애니메이션,3.7
블레이드 러너 2049,액션,3.7
머니볼,스포츠,3.8
블레이드 러너,SF,3.9
내 사랑 내 곁에,드라마,3.0
테이큰 2,액션,3.4
인사이드 르윈,코미디,3.7
하이 스쿨 뮤지컬,틴에이저,3.7
전설의 주먹,드라마,3.2
오페라의 유령 : 25주년 특별 공연,드라마,4.0
싱글 맨,드라마,3.7
남한산성,시대극,3.6
사랑방 손님과 어머니,로맨스,3.2
피노키오,애니메이션,3.7
애딕티드,드라마,2.1
아이 캔 스피크,드라마,3.9
람보,모험,3.5
익스펜더블,액션,3.1
윈드 리버,범죄,3.7
집행자,드라마,3.0
킹스맨: 골든 서클,액션,3.4
사랑도 흥정이 되나요?,로맨스,2.8
엘리펀트,드라마,3.8
황금나침반,판타지,3.0
바람난 가족,코미디,2.9
어 퍼펙트 데이,드라마,3.8
사냥,액션,1.8
슈렉 3,판타지,3.4
향수 - 어느 살인자의 이야기,범죄,3.7
G-포스: 기니피그 특공대,코미디,3.1
치킨 런,애니메이션,3.5
데스 노트 - L: 새로운 시작,판타지,3.0
김씨 표류기,드라마,3.4
브이아이피,드라마,2.5
툼 레이더,액션,3.3
덫,로맨스,2.0
폭렬닌자 고에몬,액션,2.4
블룸 형제 사기단,드라마,3.1
살인자의 기억법,범죄,3.3
달세계 여행,판타지,3.7
베이비 드라이버,액션,3.7
마린 보이,범죄,2.7
검우강호,액션,2.9
몬스터 콜,모험,3.7
네이든,코미디,3.5
판의 미로 - 오필리아와 세 개의 열쇠,판타지,3.7
태양의 눈물,액션,3.5
캐롤,드라마,4.0
호텔 슈발리에,로맨스,3.4
파이란,로맨스,3.7
배틀로얄,액션,2.9
아이스 에이지,애니메이션,3.6
터미네이터 3 - 라이즈 오브 더 머신,액션,3.4
약속,로맨스,3.4
내 이름은 칸,드라마,3.9
차우,공포,2.5
킬러의 보디가드,스릴러,3.7
레이디 맥베스,로맨스,3.5
님포매니악 볼륨1,드라마,3.2
범죄와의 전쟁 : 나쁜놈들 전성시대,액션,4.0
양들의 침묵,드라마,4.0
파수꾼,틴에이저,3.9
패닉 룸,드라마,3.5
밀레니엄 : 여자를 증오한 남자들,범죄,3.5
"당신, 거기 있어줄래요",판타지,3.6
혹성 탈출 1,모험,3.8
로봇,애니메이션,3.2
트레인스포팅,드라마,3.9
하울의 움직이는 성,판타지,4.2
투모로우,액션,3.6
페르시아의 왕자: 시간의 모래,액션,3.2
조디악,스릴러,3.6
펄프 픽션,범죄,4.0
노인을 위한 나라는 없다,범죄,4.0
다크 나이트,액션,4.3
문라이트,드라마,3.8
스콧 필그림,음악,3.5
분노,드라마,3.8
새벽의 황당한 저주,공포,3.4
혹성탈출: 종의 전쟁,액션,3.6
지구가 끝장 나는 날,액션,3.5
행오버,드라마,3.6
로제타,드라마,4.0
사운드 오브 뮤직,드라마,4.1
뮬란,애니메이션,3.9
로우,드라마,3.6
아들,가족,4.1
내일을 위한 시간,드라마,3.8
자전거 탄 소년,드라마,3.9
역도산,드라마,2.7
아이언 자이언트,애니메이션,3.9
밤의 해변에서 혼자,드라마,3.4
블루 재스민,드라마,3.8
나 홀로 집에,가족,4.0
택시운전사,가족,4.0
자유의 언덕,드라마,3.6
박열,시대극,3.6
28일 후,드라마,3.7
해리포터와 혼혈왕자,판타지,3.7
해리포터와 불사조 기사단,판타지,3.8
해리포터와 불의 잔,판타지,3.8
해리포터와 아즈카반의 죄수,판타지,3.9
퍼스트 어벤져,액션,3.7
푸시,액션,3.2
유감스러운 도시,액션,2.5
색즉시공,코미디,2.8
군함도,액션,3.1
방탄승,액션,2.5
필스,코미디,3.4
점박이 : 한반도의 공룡3D,가족,3.1
노예 12년,역사,3.8
미행,드라마,3.8
덩케르크,역사,4.0
설국열차,SF,3.7
스티브 잡스,드라마,3.3
뉴 폴리스 스토리,액션,3.4
헝거,드라마,3.7
심판,드라마,3.7
아웃레이지 비욘드,범죄,3.4
회오리 바람,드라마,3.2
월-E,가족,4.1
신라의 달밤,액션,3.0
악녀,액션,3.1
프랭크,음악,3.4
극장판 짱구는 못말려 11기: 태풍을 부르는 영광의 불고기 로드,애니메이션,3.7
미드나잇 인 파리,코미디,3.9
바람의 파이터,드라마,3.2
옥자,드라마,3.6
울학교 이티,코미디,2.7
북극의 눈물,다큐멘터리,3.8
캣츠 앤 독스 2,코미디,2.9
아름다운 청춘,드라마,3.1
헬보이 2: 골든 아미,액션,3.3
마음이...,가족,3.6
웨딩드레스,드라마,3.4
장화신은 고양이,애니메이션,3.3
샤크,애니메이션,3.2
엘르,범죄,3.6
아이스 에이지 4: 대륙 이동설,애니메이션,3.4
토이 스토리 2,애니메이션,4.0
실미도,전쟁,3.7
웰컴 투 동막골,코미디,3.7
강철중: 공공의 적 1-1,범죄,3.5
신기전,액션,3.1
이끼,드라마,3.3
내가 살인범이다,액션,3.5
플랜맨,로맨스,3.0
