title,director,content_type,genres,nation,year,ratings_avg,movie_code
사이에서,['이창재'],movies,['다큐멘터리'],한국,2006,2.9,m5avPQW
추수기,['마리나 라즈베즈키나'],movies,[],러시아,2004,2.8,mW9Jk8O
"나, 클라우디아",['크리스 에이브러햄'],movies,['드라마'],캐나다,2004,3.4,mWy1KMW
버터플라이,['필립 뮬'],movies,"['드라마', '코미디']",프랑스,2002,3.6,m5Xlvz5
체코 드림,"['비트 클루삭', '필립 레문다']",movies,['다큐멘터리'],체코,2004,3.9,mOV0m85
옥스하이드,['리우 지아 인'],movies,[],중국,2004,3.8,mWyGeYd
진실의 문,['김희철'],movies,"['다큐멘터리', '드라마']",한국,2004,3.8,mWwZrG5
두 생각 사이의 침묵,['바박 파야미'],movies,[],이란,2003,4.5,md7QL1W
민,['호 유항'],movies,[],말레이시아,2003,5.0,m5NNRp5
커피와 담배,['짐 자무쉬'],movies,['드라마'],미국,2003,3.7,mWwBXQ5
스위트 하바나,['페르난도 페레즈'],movies,['다큐멘터리'],스페인,2003,2.8,mO2nykO
스파이더,['데이빗 크로넨버그'],movies,['드라마'],캐나다,2002,3.6,m5n0yDO
형,['얀얀 막'],movies,[],홍콩,2001,2.8,mOPrjl5
엔젤역 출구,['블라디미르 미할렉'],movies,[],체코,2000,2.0,mWwZqX5
