user_code,title,movie_code,content_type,genres,year
WwRqoR4OWxlzB,에이바,m5X24Pp,movies,"['드라마', '범죄', '액션']",2020
WwRqoR4OWxlzB,워크 잇,mWLywMw,movies,['코미디'],2020
WwRqoR4OWxlzB,비밀의 안경,mOl40xe,movies,"['단편', '로맨스']",2017
WwRqoR4OWxlzB,데스가즘,mO2MmKx,movies,"['공포', '코미디']",2015
WwRqoR4OWxlzB,안개,m5mqRD5,movies,['드라마'],1967
WwRqoR4OWxlzB,백일염화,m5aVV4q,movies,"['드라마', '스릴러', '범죄']",2014
WwRqoR4OWxlzB,에일리언 2020,mdB7vL9,movies,['SF'],2019
WwRqoR4OWxlzB,프리미엄 러쉬,mdjrqrd,movies,"['액션', '범죄', '스릴러']",2012
WwRqoR4OWxlzB,그림형제 : 마르바덴 숲의 전설,m5DVVQO,movies,"['액션', '모험', '코미디', '판타지', '스릴러', '가족']",2005
WwRqoR4OWxlzB,토킹 픽처,mdEgRgW,movies,"['드라마', '코미디']",2003
WwRqoR4OWxlzB,클라우즈 오브 실스마리아,m5DGDBe,movies,['드라마'],2014
WwRqoR4OWxlzB,가려진 시간,mW4LzGo,movies,"['드라마', '미스터리', '판타지', '로맨스']",2016
WwRqoR4OWxlzB,알.이.씨 3: 제네시스,mWwMvQd,movies,"['공포', '스릴러']",2012
WwRqoR4OWxlzB,더 메이드,mWw36p3,movies,"['공포', '판타지', '미스터리', '드라마']",2020
WwRqoR4OWxlzB,나타지마동강세,m5mY6qm,movies,"['애니메이션', '판타지', '스릴러']",2019
WwRqoR4OWxlzB,당인가탐안2,mO8Kaeb,movies,"['액션', '공포', '스릴러', '코미디', '미스터리']",2018
WwRqoR4OWxlzB,탐정 당인: 차이나타운 살인사건,mOAZ8Rm,movies,['액션'],2015
WwRqoR4OWxlzB,장 지아,mOAkDka,movies,['애니메이션'],2020
WwRqoR4OWxlzB,M,m5Y6DGW,movies,"['로맨스', '공포', '스릴러', '드라마', '미스터리']",2007
WwRqoR4OWxlzB,블랙 아담,mObV437,movies,"['액션', 'SF']",2021
WwRqoR4OWxlzB,메기,mOPoG8D,movies,"['코미디', '드라마', '미스터리']",2018
WwRqoR4OWxlzB,흥부와 놀부,m5eQnK5,movies,['애니메이션'],1967
WwRqoR4OWxlzB,니믹,m5ZlXw9,movies,"['단편', '스릴러']",2019
WwRqoR4OWxlzB,별이 빛나는 밤에,mOgB1J0,movies,"['애니메이션', '드라마', '단편']",2017
WwRqoR4OWxlzB,기원,mWz3wVD,movies,"['애니메이션', '단편']",2019
WwRqoR4OWxlzB,엔딩스 비기닝스,m5QAq88,movies,['드라마'],2019
WwRqoR4OWxlzB,프릭스,m5Q94X4,movies,"['미스터리', '드라마', 'SF', '스릴러']",2018
WwRqoR4OWxlzB,더 라이트: 악마는 있다,mObAbaW,movies,"['공포', '스릴러']",2011
WwRqoR4OWxlzB,위험한 정사,mLOPzw5,movies,"['드라마', '스릴러']",1987
WwRqoR4OWxlzB,언더 더 실버 레이크,mdja24o,movies,"['범죄', '드라마', '미스터리', '스릴러']",2018
WwRqoR4OWxlzB,성실한 나라의 앨리스,mWyJJj1,movies,['드라마'],2014
WwRqoR4OWxlzB,수요기도회,m5xJXyg,movies,"['드라마', '단편']",2016
WwRqoR4OWxlzB,더 웨이 백,m5mY6zx,movies,"['드라마', '스포츠']",2020
WwRqoR4OWxlzB,씨 피버,mO1olEV,movies,"['공포', 'SF']",2019
WwRqoR4OWxlzB,스카페이스,mOPeXVd,movies,"['드라마', '범죄']",1932
WwRqoR4OWxlzB,승리호,mO1jXrx,movies,"['SF', '판타지']",2019
WwRqoR4OWxlzB,레이니 데이 인 뉴욕,m5rQwNE,movies,"['코미디', '로맨스']",2019
WwRqoR4OWxlzB,판타지 아일랜드,mOAk93l,movies,"['모험', '공포', '코미디', '판타지']",2020
WwRqoR4OWxlzB,드래그 미 투 헬,mWzwEVO,movies,"['공포', '스릴러', '판타지']",2009
WwRqoR4OWxlzB,내일을 위한 시간,mWJyPpx,movies,['드라마'],2014
WwRqoR4OWxlzB,패트리어트 데이,mdEwMvg,movies,"['액션', '범죄', '드라마', '역사', '스릴러']",2016
WwRqoR4OWxlzB,주피터스 문,mOl4MaA,movies,"['드라마', 'SF']",2017
WwRqoR4OWxlzB,마음의 고향,mdMaDXd,movies,['드라마'],1984
WwRqoR4OWxlzB,돈을 갖고 튀어라,m5DG8Rd,movies,"['코미디', '범죄']",1969
WwRqoR4OWxlzB,해양 괴물,mO2ep8W,movies,"['판타지', '공포']",1954
WwRqoR4OWxlzB,리피피,mnOoNmW,movies,"['범죄', '액션', '스릴러']",1955
WwRqoR4OWxlzB,아쿠아맨 2,mWqwmro,movies,"['액션', 'SF']",
WwRqoR4OWxlzB,레드 노티스,m5Zlvme,movies,['액션'],2020
WwRqoR4OWxlzB,천년여우,mWqJnXO,movies,"['애니메이션', '판타지', '드라마']",2001
WwRqoR4OWxlzB,라이크 크레이지,m5r7rjW,movies,"['드라마', '로맨스']",2011
WwRqoR4OWxlzB,삽질,m5DPDv1,movies,['다큐멘터리'],2018
WwRqoR4OWxlzB,아티스트,mWzDwBd,movies,"['코미디', '드라마', '로맨스']",2011
WwRqoR4OWxlzB,모노스,m5Z37vz,movies,['드라마'],2019
WwRqoR4OWxlzB,하이 라이프,mW93QVB,movies,"['모험', '드라마', '공포', '미스터리', 'SF', '스릴러']",2018
WwRqoR4OWxlzB,파이팅 위드 마이 패밀리,mOk6jwJ,movies,"['스포츠', '드라마', '코미디']",2019
WwRqoR4OWxlzB,더 라이트하우스,m5Dak8B,movies,"['드라마', '판타지', '공포']",2019
WwRqoR4OWxlzB,데이 쉘 낫 그로우 올드,m5xJrJg,movies,"['다큐멘터리', '전쟁', '역사']",2018
WwRqoR4OWxlzB,페어웰,m5Q946l,movies,"['가족', '드라마']",2019
WwRqoR4OWxlzB,아바타 2,mOk7BJO,movies,"['액션', '판타지', 'SF']",2020
WwRqoR4OWxlzB,내가 뭘 잘못 했길래,mW9kAjd,movies,"['드라마', '코미디']",1984
WwRqoR4OWxlzB,나쁜 버릇,mOAyVGO,movies,"['드라마', '코미디']",1983
WwRqoR4OWxlzB,나쁜 교육,mMO220O,movies,"['드라마', '범죄', '스릴러']",2004
WwRqoR4OWxlzB,정열의 미로,m53jKqd,movies,"['코미디', '드라마', '로맨스']",1982
WwRqoR4OWxlzB,"산 정상의 페피, 루시, 봄 그리고 다른 사람들",mOkJ9EW,movies,['코미디'],1980
WwRqoR4OWxlzB,언더워터,mdB7zlp,movies,"['액션', '드라마', '스릴러', '공포']",2020
WwRqoR4OWxlzB,미나리,m53m90n,movies,['드라마'],2020
WwRqoR4OWxlzB,더 수버니어 ,m5aaNVv,movies,"['드라마', '스릴러']",2019
WwRqoR4OWxlzB,언더 더 스킨,mOA6ljd,movies,"['SF', '드라마']",2013
WwRqoR4OWxlzB,나의 어머니,m5NVw18,movies,['드라마'],2015
WwRqoR4OWxlzB,토니 에드만,mOo0Qna,movies,"['코미디', '드라마']",2016
WwRqoR4OWxlzB,잔 다르크,mWpbeaa,movies,['드라마'],2019
WwRqoR4OWxlzB,바쿠라우,mWzwxPV,movies,['드라마'],2019
WwRqoR4OWxlzB,시너님스,mOlwRXN,movies,['드라마'],2019
WwRqoR4OWxlzB,이미지 북,mWqJ1KD,movies,['드라마'],2018
WwRqoR4OWxlzB,마의 계단,mdEwzVW,movies,"['드라마', '스릴러']",1964
WwRqoR4OWxlzB,에너미,mdK3bVd,movies,"['드라마', '미스터리']",2013
WwRqoR4OWxlzB,고요의 바다,mWzwQ6V,movies,"['SF', '스릴러', '단편']",2014
WwRqoR4OWxlzB,잠은행,m5agw2X,movies,['스릴러'],2019
WwRqoR4OWxlzB,지구 최후의 밤,m5rQ3wo,movies,"['드라마', '미스터리']",2018
WwRqoR4OWxlzB,피노키오,mWq1JLD,movies,"['애니메이션', '판타지']",2021
WwRqoR4OWxlzB,미녀 삼총사 3,mWqw7Rr,movies,"['액션', '모험', '코미디']",2019
WwRqoR4OWxlzB,듄,mWqJYaX,movies,"['모험', '드라마', 'SF']",2020
WwRqoR4OWxlzB,시크릿 세탁소,mdjwPal,movies,"['드라마', '범죄']",2019
WwRqoR4OWxlzB,봉오동 전투,md7r0l1,movies,"['액션', '드라마']",2018
WwRqoR4OWxlzB,더 위치,mdRLPJ4,movies,"['스릴러', '공포', '미스터리']",2015
WwRqoR4OWxlzB,45년 후,mO0gjoz,movies,"['드라마', '로맨스']",2015
WwRqoR4OWxlzB,블랙 위도우,mOP03gg,movies,"['액션', '모험', 'SF']",2020
WwRqoR4OWxlzB,샹치 앤 더 레전드 오브 더 텐 링즈,mWyaxMN,movies,"['액션', '모험', '코미디']",2021
WwRqoR4OWxlzB,블레이드,mOAko1m,movies,"['액션', '공포', 'SF']",
WwRqoR4OWxlzB,닥터 스트레인지 인 더 멀티버스 오브 매드니스,mOkov88,movies,"['액션', '판타지', '공포']",2021
WwRqoR4OWxlzB,킹스맨: 퍼스트 에이전트,mO07ZGR,movies,"['액션', '모험', '코미디']",2020
WwRqoR4OWxlzB,한여름 밤의 유혹,mdRLYY4,movies,['스릴러'],2014
WwRqoR4OWxlzB,여인의 향기,m1WwBl5,movies,['드라마'],1992
WwRqoR4OWxlzB,소울,mO1jX48,movies,"['애니메이션', '모험', '가족', 'SF']",2020
WwRqoR4OWxlzB,크롤,mWyax0y,movies,"['액션', '스릴러', '공포']",2019
WwRqoR4OWxlzB,사일런스,mObGyqR,movies,"['드라마', '공포', 'SF', '스릴러']",2019
WwRqoR4OWxlzB,도쿄가,mWyVDVO,movies,['다큐멘터리'],1985
WwRqoR4OWxlzB,일본 곤충기,m5Ygr7O,movies,['드라마'],1963
YaR5Y0ZWKvgX1,토르: 라그나로크,mdBzrpD,movies,"['액션', '판타지', '코미디', 'SF', '모험']",2017
YaR5Y0ZWKvgX1,"나, 다니엘 블레이크",mOPomg7,movies,['드라마'],2016
YaR5Y0ZWKvgX1,쥴 앤 짐,mOgBl3W,movies,"['드라마', '로맨스']",1961
YaR5Y0ZWKvgX1,글로리 로드,mQO8KbW,movies,"['드라마', '스포츠']",2006
YaR5Y0ZWKvgX1,저주받은 카메라,md6nAKd,movies,"['드라마', '공포', '스릴러']",1960
YaR5Y0ZWKvgX1,악령들,m5r813O,movies,"['스릴러', '드라마']",1971
YaR5Y0ZWKvgX1,잭 리처: 네버 고 백,md6Y3LK,movies,"['범죄', '모험', '드라마', '스릴러', '액션']",2016
